   I,   II,  III,  AVR,  AVL,  AVF,   V1,   V2,   V3,   V4,   V5,   V6, RV, MapD, MapP, P 1
 -19, -59, -46,  26,   6, -52, -55,-105,-121, -79, -45, -19,  -9,-655, -39, 913
 -27, -61, -41,  31,  -0, -51, -49,-100,-117, -75, -41, -14,  -8,-459, -17, 913
 -32, -63, -38,  34,  -3, -51, -46, -95,-115, -73, -38, -11,  -9,-762,  12, 913
 -33, -65, -39,  35,  -4, -52, -45, -96,-114, -73, -39, -10,  -8,-326,   0, 913
 -29, -66, -44,  34,   1, -55, -48, -97,-115, -75, -42, -13,  -6,  80,   0, 912
 -22, -63, -47,  29,   6, -54, -50, -98,-116, -77, -46, -18,  -6, 263, -12, 912
 -16, -60, -51,  25,  11, -55, -55,-101,-118, -80, -49, -22,  -5, 852,  -5, 913
 -14, -60, -53,  24,  14, -57, -61,-101,-120, -81, -51, -24,  -8, 218, -26, 913
 -17, -60, -50,  27,  10, -56, -63,-101,-118, -80, -51, -23,  -6, 104,  -9, 913
 -22, -61, -46,  29,   6, -54, -67,-102,-117, -79, -51, -23,  -6,  16,   3, 913
 -27, -62, -43,  32,   1, -52, -71,-104,-116, -77, -49, -22,  -8,-363,   8, 913
 -31, -62, -38,  33,  -3, -50, -73,-105,-115, -76, -47, -20,  -8,  97, -22, 913
 -32, -59, -33,  32,  -6, -46, -71,-105,-116, -76, -46, -19, -11,  43, -14, 912
 -30, -55, -31,  29,  -6, -43, -71,-106,-118, -76, -46, -18,  -8,  42, -28, 913
 -25, -51, -34,  25,  -2, -43, -74,-109,-118, -75, -44, -17,  -3,-580, -28, 913
 -13, -47, -40,  16,   7, -44, -76,-114,-121, -73, -42, -16,  -1,-159,  11, 913
  -4, -42, -45,   9,  14, -44, -76,-116,-120, -73, -42, -15,  -6, 186,  26, 913
   0, -38, -45,   5,  16, -41, -74,-113,-116, -73, -42, -15, -11, 700,  14, 913
  -1, -35, -41,   5,  13, -38, -70,-110,-113, -73, -41, -14,  -8,  88, -23, 912
  -1, -36, -42,   6,  13, -39, -66,-106,-111, -73, -42, -14,  -8,-386, -25, 912
   0, -37, -44,   6,  15, -40, -65,-102,-110, -75, -44, -15,  -8,  97, -29, 912
  -2, -36, -41,   6,  13, -39, -63, -95,-107, -73, -42, -12,  -8, -40, -14, 912
  -1, -33, -39,   4,  12, -36, -63, -91,-103, -72, -40, -10,  -9,-629,  19, 912
  -3, -33, -37,   5,  11, -35, -57, -86,-100, -71, -40,  -9,  -6,-431,   6, 911
  -2, -35, -40,   6,  12, -37, -53, -85,-100, -72, -41, -10,  -8,-213,  -8, 911
   2, -37, -45,   5,  17, -41, -57, -88,-104, -75, -46, -14,  -6, 363, -31, 911
   8, -39, -52,   2,  23, -46, -64, -94,-108, -79, -51, -18,  -8, 934, -26, 911
  11, -40, -57,   2,  27, -49, -70, -99,-110, -81, -54, -20,  -8, 232,  -1, 911
  10, -42, -58,   3,  27, -51, -72,-101,-112, -82, -56, -22,  -8, -51,   5, 911
   6, -43, -56,   5,  24, -49, -71,-102,-114, -81, -57, -24,  -8,-134,   8, 911
   2, -43, -51,   8,  19, -47, -69,-102,-112, -78, -55, -22,  -8,-351,   5, 910
  -8, -43, -42,  13,  10, -43, -67, -98,-109, -76, -52, -19,  -9, 119, -28, 911
 -17, -42, -32,  17,   0, -37, -64, -94,-105, -73, -49, -16,  -9, 113, -15, 910
 -20, -39, -26,  17,  -4, -33, -63, -94,-104, -73, -47, -16,  -5,  59, -23, 910
 -16, -38, -29,  14,  -0, -34, -65, -98,-107, -76, -49, -18,  -3,-604, -12, 910
  -9, -40, -37,  11,   7, -39, -67,-104,-112, -80, -52, -21,  -6, 156, -11, 910
  -5, -43, -43,  10,  12, -42, -68,-108,-116, -82, -55, -23,  -5, -97, -12, 910
  -5, -45, -46,  11,  13, -45, -68,-111,-120, -85, -57, -25,  -6, 427,   8, 909
  -7, -47, -46,  13,  13, -46, -66,-113,-121, -85, -57, -25,  -9, 150,  20, 909
 -10, -48, -45,  16,  11, -47, -61,-114,-121, -84, -57, -24,  -8,-253,  -8, 909
 -16, -54, -45,  21,   8, -49, -54,-113,-120, -84, -55, -23,  -8,  65, -26, 909
 -25, -60, -42,  29,   2, -51, -47,-112,-118, -82, -52, -19,  -8,-164, -12, 908
 -29, -64, -42,  34,   0, -54, -44,-111,-115, -81, -50, -16,  -9,-610, -17, 908
 -31, -67, -43,  36,  -0, -55, -40,-109,-114, -79, -49, -15,  -9,-536, -15, 908
 -28, -67, -47,  34,   4, -57, -40,-109,-117, -81, -52, -18,  -5, 314,   2, 907
 -21, -64, -51,  30,   9, -58, -44,-114,-122, -84, -56, -22,  -6, 450,   5, 907
 -15, -60, -52,  24,  12, -56, -51,-119,-126, -87, -59, -25,  -5, 781,  -6, 907
 -12, -56, -52,  21,  14, -54, -57,-121,-129, -88, -60, -26,  -8,  17, -14, 906
 -11, -55, -51,  20,  14, -52, -59,-123,-131, -88, -60, -27,  -6,-100, -20, 906
 -13, -55, -50,  20,  12, -52, -60,-122,-130, -88, -58, -26,  -9,-171,   5, 905
 -15, -56, -49,  22,  10, -52, -60,-120,-127, -86, -56, -25,  -8,-329,  11, 905
 -17, -56, -45,  24,   7, -51, -60,-117,-124, -84, -54, -23,  -8, 169, -17, 905
 -21, -55, -41,  25,   3, -48, -60,-113,-120, -82, -52, -21,  -8, 215, -11, 904
 -23, -57, -41,  27,   1, -48, -63,-113,-121, -82, -51, -20,  -6, 110, -31, 904
 -21, -57, -43,  26,   4, -50, -67,-114,-123, -84, -52, -21,  -8,-733,  -8, 903
 -14, -56, -49,  22,  10, -52, -70,-115,-122, -83, -52, -22,  -8, -56,  12, 903
 -11, -56, -51,  20,  13, -53, -71,-116,-120, -83, -51, -21,  -6, -79,   0, 902
 -12, -57, -52,  21,  13, -54, -71,-114,-119, -84, -53, -23,  -6, 475,  -8, 902
 -15, -59, -50,  23,  11, -54, -70,-111,-119, -86, -54, -24,  -8, 247, -11, 901
 -14, -57, -48,  22,  10, -52, -67,-111,-120, -85, -55, -23,  -5,-117, -12, 900
 -10, -53, -49,  19,  12, -51, -64,-112,-120, -84, -56, -22,  -8, 170,   0, 900
 -11, -53, -48,  19,  12, -51, -62,-108,-119, -84, -54, -20,  -9,-141,  -8, 899
 -10, -54, -50,  19,  14, -52, -58,-104,-115, -83, -53, -19,  -9,-784,  -3, 899
 -10, -54, -51,  19,  15, -53, -55,-100,-110, -81, -52, -17,  -6,-368, -20, 898
  -6, -53, -54,  16,  18, -54, -53,-100,-108, -82, -55, -20,  -8, -15,  -8, 897
   4, -49, -58,   9,  25, -54, -56,-104,-110, -83, -56, -24,  -6, 116,  -1, 897
  11, -45, -62,   3,  30, -54, -59,-108,-114, -85, -60, -28,  -6, 731,  -5, 896
  13, -43, -63,   1,  31, -53, -62,-107,-115, -85, -62, -31,  -8, 102,  -5, 895
  11, -41, -59,   2,  28, -50, -62,-105,-112, -83, -61, -31,  -8,  37, -11, 894
   4, -41, -53,   5,  21, -47, -60,-102,-108, -80, -58, -30,  -8, 119, -14, 893
  -3, -39, -44,   8,  13, -41, -57,-100,-105, -77, -54, -26,  -9,-286, -18, 892
