   I,   II,  III,  AVR,  AVL,  AVF,   V1,   V2,   V3,   V4,   V5,   V6, RV, MapD, MapP, P 1
  11, -24, -41,  -7,  19, -33, -66,-105,-104, -79, -61, -32,  -6, 182,  -5, 822
   9, -23, -38,  -6,  17, -31, -64,-101,-102, -78, -60, -30,  -8, 164, -28, 822
   4, -23, -33,  -4,  11, -28, -62, -99,-100, -77, -58, -28,  -5,  94, -26, 822
   0, -22, -29,  -6,   8, -25, -62, -98,-100, -77, -57, -27,  -8,  63,  -5, 821
  -1, -20, -25,  -6,   5, -23, -64, -98, -98, -75, -54, -26,  -6,-827,  12, 821
  -0, -22, -28,  -5,   7, -25, -67, -98, -95, -71, -52, -24,  -3,-277,  -5, 820
  -1, -23, -28,  -3,   7, -26, -69, -96, -91, -67, -49, -23,  -5, -91,  11, 820
  -5, -23, -25,  -1,   3, -24, -71, -93, -88, -65, -47, -22,  -8, 546, -12, 819
 -11, -21, -17,   1,  -3, -20, -72, -94, -87, -63, -45, -20,  -6, 269, -23, 819
 -14, -21, -14,   3,  -7, -18, -71, -96, -88, -62, -43, -19,  -6,-215, -11, 819
 -15, -24, -17,   6,  -6, -21, -70, -98, -92, -65, -44, -19,  -6,  84, -22, 818
 -19, -30, -18,  11,  -7, -25, -69, -99, -95, -65, -42, -16,  -9, 105,   6, 818
 -20, -35, -22,  14,  -5, -29, -68,-100, -98, -67, -41, -13,  -6,-777,   2, 817
 -21, -40, -26,  16,  -4, -33, -66, -98, -99, -69, -42, -13,  -6,-397, -15, 816
 -17, -41, -33,  15,   1, -37, -68, -98,-101, -73, -45, -16,  -6, -96,  -1, 816
  -9, -42, -40,  12,   8, -40, -72,-104,-109, -79, -50, -21,  -6, 104,  -6, 816
  -3, -41, -46,   9,  14, -43, -74,-108,-115, -83, -54, -26,  -6, 855,   3, 815
   0, -41, -48,   7,  17, -44, -74,-110,-117, -83, -54, -27,  -6, 334,   2, 815
  -1, -41, -47,   8,  16, -44, -74,-111,-117, -82, -53, -25,  -8, 107, -23, 814
  -2, -42, -46,   9,  16, -44, -72,-110,-115, -81, -50, -23,  -8, -57,  -8, 814
  -3, -39, -43,   7,  14, -41, -69,-110,-113, -79, -47, -21,  -8,-338,  -3, 813
  -6, -36, -36,   7,   8, -36, -65,-108,-109, -77, -44, -19,  -9, -86, -25, 813
 -13, -34, -28,  10,   1, -31, -60,-107,-106, -74, -41, -17,  -8, 220, -35, 812
 -16, -32, -23,  11,  -3, -28, -55,-106,-110, -72, -39, -15,  -8,   5,  -1, 812
 -15, -31, -23,   9,  -2, -27, -57,-108,-114, -72, -38, -15,  -3,-731,  12, 811
  -8, -30, -29,   5,   4, -30, -61,-110,-110, -71, -39, -17,  -3,  19,   2, 811
  -1, -27, -34,   1,  10, -30, -64,-109,-107, -70, -38, -19,  -8,  -3,  -5, 810
   6, -23, -36,  -5,  15, -30, -65,-107,-105, -69, -39, -20,  -8, 838,   0, 810
   7, -21, -35,  -6,  14, -28, -65,-105,-103, -69, -39, -21,  -5, 295, -20, 810
   6, -20, -33,  -7,  13, -26, -62,-102,-100, -67, -38, -20,  -8,-416,  -9, 809
   4, -19, -30,  -6,  11, -25, -59, -98, -96, -66, -38, -18,  -8,-190,  -6, 809
  -2, -21, -26,  -1,   5, -24, -56, -93, -93, -64, -36, -17,  -9,  16, -18, 808
  -7, -26, -25,   3,   2, -25, -52, -89, -91, -65, -36, -17,  -8,-754, -22, 808
 -10, -29, -26,   6,   1, -28, -50, -86, -89, -66, -37, -18,  -6,-292,  -9, 807
 -10, -35, -32,   9,   5, -34, -52, -87, -92, -70, -41, -20,  -5,-170,   2, 807
  -4, -38, -40,   8,  12, -39, -58, -93, -95, -74, -46, -24,  -5, 145,  20, 807
   3, -37, -47,   4,  19, -42, -63, -97, -99, -76, -49, -28,  -6, 989, -14, 807
   8, -35, -49,  -0,  23, -42, -65, -98, -99, -74, -49, -28,  -6, 252,  -6, 806
  11, -31, -48,  -3,  23, -39, -64, -97, -99, -73, -48, -27,  -9,   6, -14, 806
   9, -29, -43,  -3,  20, -36, -66, -97,-100, -72, -46, -27,  -9,-103, -31, 805
   4, -29, -39,  -1,  15, -34, -71, -98,-100, -71, -46, -27,  -9,-334,  14, 805
  -3, -30, -34,   3,   9, -32, -71, -97,-101, -71, -45, -27,  -8,  14,  -3, 805
 -10, -31, -26,   7,   2, -28, -68, -97, -97, -69, -42, -26,  -8, 227, -12, 805
 -15, -31, -22,   9,  -3, -26, -68, -99, -94, -67, -39, -24,  -9, -22, -29, 805
 -17, -34, -23,  11,  -3, -28, -72,-101, -93, -67, -38, -25,  -8,-734,  -9, 805
 -13, -38, -31,  12,   3, -34, -77,-102, -95, -69, -39, -27,  -5,  85,  17, 805
  -6, -39, -39,   9,  10, -38, -80,-103, -97, -69, -39, -26,  -5, 104, -17, 804
   0, -36, -42,   4,  15, -39, -82,-104, -97, -68, -39, -26,  -6, 380,  -3, 804
   1, -33, -40,   2,  14, -37, -85,-101, -97, -68, -38, -26,  -8, 206,  -8, 804
  -1, -31, -37,   2,  12, -34, -85,-100, -96, -67, -37, -25,  -6,-204,   8, 804
  -1, -28, -33,   1,   9, -31, -84,-100, -98, -68, -38, -26,  -8, 125, -20, 803
  -6, -27, -28,   3,   4, -27, -81, -95, -94, -65, -35, -22,  -9, 148, -20, 803
  -7, -27, -27,   3,   3, -27, -79, -89, -90, -63, -34, -20,  -9,-981,  -8, 802
  -8, -29, -28,   5,   3, -28, -75, -85, -90, -64, -34, -18,  -6,-419,  -5, 802
  -6, -31, -32,   5,   6, -31, -71, -85, -91, -65, -35, -20,  -6,-260,  -8, 802
   1, -30, -37,   1,  12, -34, -71, -89, -91, -65, -37, -23,  -6, 492,   2, 801
   8, -27, -40,  -3,  18, -34, -74, -93, -91, -65, -40, -27,  -6, 938, -14, 801
  11, -26, -43,  -6,  21, -35, -75, -97, -92, -66, -42, -31,  -8, 133, -45, 801
  11, -24, -42,  -7,  20, -33, -71, -97, -90, -63, -40, -30,  -9, -35, -15, 800
   9, -22, -37,  -8,  17, -29, -64, -97, -87, -59, -38, -27,  -9, -97,  20, 800
   6, -20, -32,  -7,  12, -26, -60, -96, -86, -58, -36, -25,  -8,-272,  12, 799
   1, -18, -26,  -5,   7, -22, -54, -97, -89, -60, -36, -25,  -8,  11, -32, 799
  -4, -16, -19,  -4,   2, -17, -53, -98, -90, -60, -36, -25,  -8, 298, -34, 798
  -6, -12, -12,  -4,  -3, -12, -54,-100, -91, -61, -37, -26,  -6, 201,  -3, 798
  -5, -10, -10,  -6,  -4, -10, -56,-102, -92, -63, -37, -26,  -5,-811,   6, 798
   0, -10, -15,  -9,   2, -12, -60,-103, -92, -64, -37, -26,  -6,-213,  -8, 797
   5,  -9, -19, -12,   6, -14, -65,-103, -92, -64, -37, -25,  -6, -77,  16, 797
   6,  -7, -18, -13,   6, -12, -66,-103, -95, -65, -37, -26,  -6, 648,   2, 796
   3,  -4, -13, -13,   1,  -8, -62,-101, -95, -65, -38, -27,  -8, 357, -37, 795
   1,  -2, -10, -13,  -1,  -6, -56, -98, -94, -65, -38, -27,  -6,-253,  -3, 795
   1,  -2, -11, -13,  -1,  -6, -50, -94, -91, -64, -37, -27,  -5, -79, -12, 795
  -3,  -3,  -8, -11,  -4,  -6, -42, -89, -84, -59, -33, -22,  -9,  80, -15, 795
  -6,  -4,  -6,  -9,  -6,  -5, -33, -86, -80, -56, -30, -19,  -8,-835,  11, 795
  -8,  -4,  -4,  -8,  -8,  -4, -24, -81, -76, -55, -30, -17,  -8,-366,  16, 794
  -6,  -2,  -3, -10,  -8,  -2, -20, -77, -74, -55, -31, -16,  -3,  29,  -8, 794
   1,   5,  -4, -16,  -4,   0, -23, -77, -75, -56, -34, -18,  -5,  82, -34, 794
  10,   9,  -9, -22,   3,   0, -25, -76, -75, -57, -36, -21,  -5, 796, -11, 793
  14,  11, -10, -25,   5,   1, -23, -75, -71, -55, -35, -22,  -6, 274,   0, 793
  13,  14,  -6, -27,   3,   4, -21, -73, -66, -53, -34, -21,  -8,-165, -11, 793
  13,  18,  -0, -28,  -1,   9, -20, -70, -63, -51, -32, -19,  -9, -59, -18, 793
  11,  23,   5, -30,  -4,  14, -18, -68, -61, -49, -29, -16,  -5,-102, -12, 793
  10,  28,  12, -32,  -8,  21, -11, -63, -57, -46, -26, -12,  -8, -12, -17, 793
   9,  36,  20, -36, -12,  29,  -6, -58, -53, -42, -22,  -7, -11, 603,   0, 792
   8,  44,  29, -40, -17,  37,  -2, -56, -51, -38, -17,  -2,  -6, 331, -17, 792
   8,  48,  33, -42, -19,  41,  -0, -54, -50, -34, -12,   3,  -5,-899,  -8, 792
  10,  47,  30, -42, -17,  39,  -0, -55, -50, -32, -10,   4,  -5,-425,   6, 791
  11,  44,  27, -41, -14,  36,  -1, -57, -52, -30,  -9,   3,  -3,-224,   2, 791
   9,  44,  28, -40, -16,  36,   1, -57, -53, -30,  -9,   2,  -5, 498, -26, 791
   5,  45,  33, -39, -20,  39,   5, -57, -51, -29,  -9,   3,  -8, 377, -18, 791
   2,  47,  37, -38, -24,  42,   9, -55, -46, -27,  -5,   6,  -8,-222,  19, 790
   1,  49,  41, -39, -26,  45,  11, -55, -42, -23,  -3,   7,  -9,  42, -29, 790
  -4,  49,  46, -36, -31,  47,  15, -51, -36, -19,   1,  11,  -9, 329, -25, 790
  -3,  53,  48, -38, -32,  50,  19, -47, -31, -15,   4,  16,  -8,-748,   5, 789
  -1,  57,  51, -41, -32,  54,  24, -45, -27, -12,   7,  20,  -8,-423,  16, 788
   3,  60,  50, -45, -30,  55,  26, -44, -27, -12,   7,  20,  -5,-216, -29, 788
  11,  65,  47, -52, -25,  56,  23, -41, -29, -14,   5,  18,  -6, -73, -20, 788
  21,  73,  45, -60, -18,  58,  16, -42, -30, -13,   3,  17,  -6, 836, -18, 788
  30,  83,  47, -70, -15,  65,  11, -44, -26, -10,   4,  19,  -9, 280,   8, 787
  34,  93,  53, -78, -16,  73,   9, -43, -21,  -5,   7,  21, -11,-114,   9, 787
  37, 103,  59, -84, -17,  81,   5, -42, -17,  -0,  10,  24,  -6, -31, -20, 786
  39, 113,  68, -90, -21,  91,   0, -40, -15,   3,  14,  28,  -6, 104,  -1, 786
  39, 122,  77, -94, -26, 100,  -3, -38, -13,   7,  19,  32,  -9, 250, -14, 786
  35, 131,  89, -96, -35, 110,  -6, -36, -11,  11,  25,  35, -11, 178, -26, 785
  30, 138, 101, -97, -43, 120, -10, -35,  -8,  17,  34,  41, -11,  39, -22, 784
  28, 145, 110,-100, -48, 127, -15, -36,  -5,  22,  41,  46,  -8,-839,   2, 784
  33, 150, 110,-106, -45, 130, -19, -37,  -4,  25,  43,  48,  -3,-301,  -3, 783
  39, 153, 107,-110, -41, 130, -27, -42,  -6,  25,  41,  49,  -8,-193, -18, 783
  44, 156, 105,-114, -38, 131, -38, -47,  -9,  25,  40,  49,  -8, 399,  -9, 782
  45, 159, 106,-116, -38, 133, -43, -48, -11,  24,  41,  50,  -8, 507,  -9, 782
  45, 161, 108,-117, -39, 136, -44, -51, -13,  23,  42,  51, -11,-372,  -9, 781
  46, 163, 109,-119, -38, 137, -47, -54, -17,  21,  42,  52,  -8, 462,   3, 781
  43, 163, 112,-117, -41, 138, -52, -55, -20,  20,  43,  54,  -9, 424, -22, 781
  41, 161, 112,-115, -42, 136, -58, -57, -24,  18,  44,  56,  -8,-927,  -3, 781
  41, 160, 111,-114, -41, 135, -66, -58, -28,  15,  44,  58,  -9,-583,  14, 781
  46, 163, 109,-118, -38, 136, -74, -60, -27,  13,  43,  59,  -6,-250, -20, 780
  56, 170, 106,-127, -32, 138, -83, -64, -28,  12,  41,  58,  -6, -18, -12, 780
  65, 177, 103,-135, -25, 140, -95, -70, -33,   9,  38,  56,  -6, 892,  -3, 779
  73, 182, 101,-141, -20, 141,-106, -75, -39,   9,  38,  56,  -5, 402,  -6, 779
  78, 185, 100,-145, -18, 143,-114, -78, -41,  10,  40,  58,  -5,  65,  14, 779
  78, 187, 103,-147, -19, 145,-118, -80, -43,  10,  42,  60,  -9,-125,  -8, 779
  76, 188, 105,-146, -21, 147,-123, -85, -43,  10,  43,  63,  -8,-289,   0, 778
  72, 189, 109,-144, -25, 149,-126, -88, -43,  11,  46,  68,  -8, -46, -34, 778
  66, 189, 115,-142, -32, 153,-127, -90, -44,  10,  47,  71,  -8, 263, -29, 778
  63, 189, 120,-140, -35, 155,-130, -94, -47,   8,  46,  69,  -5, 274, -20, 778
  64, 188, 117,-140, -33, 152,-134, -99, -51,   5,  44,  66,  -5,-736,   6, 777
  72, 186, 108,-143, -25, 146,-139,-102, -56,   2,  42,  63,  -5,-260,  12, 777
  79, 185,  99,-146, -17, 142,-142,-102, -55,   2,  43,  62,  -5,-159,  -6, 777
  85, 186,  94,-150, -11, 140,-141,-100, -51,   6,  45,  64,  -6, 515, -23, 776
  86, 187,  94,-150, -11, 140,-137, -95, -45,  13,  52,  70,  -6, 385, -32, 776
  86, 189,  97,-151, -13, 143,-135, -90, -39,  18,  58,  76,  -8,-144,  16, 776
  86, 193,  99,-153, -14, 146,-133, -86, -36,  21,  62,  81,  -9,   0,   5, 776
  81, 193, 105,-151, -20, 150,-130, -81, -32,  25,  67,  85, -11, 111, -12, 776
  75, 193, 111,-148, -25, 151,-131, -78, -29,  28,  69,  88,  -9,-828,  -6, 775
  72, 194, 115,-147, -28, 154,-131, -75, -24,  32,  72,  91,  -8,-488, -26, 775
  75, 198, 115,-150, -27, 156,-129, -73, -21,  33,  73,  93,  -6, -93, -20, 774
  83, 203, 112,-157, -21, 158,-132, -77, -24,  31,  71,  92,  -6, 212,   3, 774
  92, 207, 108,-164, -15, 158,-137, -84, -28,  29,  68,  89,  -3, 850,  -5, 773
  94, 208, 106,-165, -13, 158,-143, -91, -33,  28,  66,  87,  -3, 524,  -1, 773
  89, 205, 108,-160, -17, 157,-148, -97, -38,  26,  66,  86,  -8, 142, -15, 772
  82, 202, 113,-156, -23, 158,-152,-101, -42,  25,  65,  86,  -6,-209, -17, 772
  77, 203, 119,-153, -28, 161,-155,-103, -43,  26,  68,  88,  -5,-426,   6, 771
  71, 202, 124,-150, -34, 163,-153,-105, -45,  26,  69,  90,  -3,-170,  -1, 771
  61, 196, 128,-142, -40, 162,-150,-108, -47,  24,  70,  91,  -3, 274, -22, 770
  52, 188, 128,-133, -45, 158,-150,-110, -50,  21,  69,  91,  -5, 216, -18, 770
  48, 178, 123,-127, -44, 151,-154,-114, -55,  15,  66,  88,  -6,-734,  17, 769
  51, 173, 115,-125, -39, 144,-160,-118, -57,  10,  62,  83,  -3,-196, -15, 769
  52, 169, 110,-124, -36, 139,-162,-114, -54,  10,  61,  82,  -8,  50, -22, 768
  54, 163, 102,-123, -30, 133,-159,-110, -50,  12,  61,  81,  -9, 468, -20, 767
  55, 155,  93,-119, -26, 124,-155,-103, -48,  14,  62,  81,  -8, 348,   9, 767
  53, 149,  88,-115, -24, 119,-154, -96, -45,  18,  64,  83,  -9,-107, -14, 767
  52, 145,  85,-112, -23, 115,-151, -92, -42,  20,  64,  83,  -9,  22, -11, 767
  46, 139,  85,-107, -26, 113,-146, -87, -40,  17,  65,  85, -12, 153,   0, 766
  43, 134,  83,-102, -26, 109,-144, -84, -39,  14,  65,  86,  -9,-896,  -5, 766
  40, 126,  79, -97, -26, 103,-143, -81, -40,  11,  63,  86,  -9,-595, -18, 766
  40, 116,  69, -92, -21,  93,-144, -81, -42,   7,  59,  82,  -6,-219, -14, 765
  47, 109,  56, -91, -11,  82,-146, -84, -44,   2,  53,  77,  -5, 165,   9, 765
  58, 104,  39, -95,   3,  72,-150, -88, -53,  -5,  46,  71,  -6,1184,  14, 765
  66, 101,  28, -97,  12,  65,-149, -94, -61, -11,  41,  67,  -9, 385, -23, 764
  65,  96,  24, -94,  13,  60,-141,-100, -62, -12,  38,  64, -11,   3, -25, 764
  58,  88,  23, -86,  11,  56,-133,-102, -63, -13,  34,  61,  -9, -80, -22, 764
  49,  80,  24, -78,   6,  52,-126,-104, -65, -15,  31,  58,  -8,-280,  -3, 763
  39,  75,  27, -71,  -1,  51,-118,-106, -68, -19,  27,  55, -11,-151, -26, 763
  27,  69,  34, -62, -10,  51,-111,-111, -71, -22,  24,  51,  -8, 162,   6, 763
  18,  63,  36, -55, -15,  49,-107,-116, -77, -27,  20,  47,  -6, 305,  -1, 762
  14,  54,  32, -48, -16,  43, -98,-118, -80, -31,  17,  42,  -6,-1039,  -3, 762
  15,  42,  20, -42,  -9,  31, -94,-118, -84, -35,  12,  35,  -6,  50,  14, 762
  16,  31,   8, -37,  -3,  20, -91,-120, -87, -39,   7,  30,  -8, 233,  12, 761
  15,  22,  -0, -32,   1,  11, -91,-121, -89, -43,   3,  25,  -6, 462, -32, 761
  12,  13,  -6, -27,   2,   4, -90,-119, -89, -46,  -0,  22,  -8, 161, -48, 761
   8,   4, -11, -19,   3,  -3, -86,-119, -93, -51,  -3,  19, -11,-335,   0, 761
   3,  -7, -17, -12,   4, -12, -82,-121, -99, -56,  -7,  16,  -8, -68,   6, 761
  -3, -18, -22,  -3,   3, -20, -77,-122, -99, -57,  -9,  15,  -6, 261,  -1, 761
  -9, -31, -28,   7,   3, -30, -73,-121, -99, -61, -11,  12,  -8,-740, -14, 760
 -15, -43, -35,  16,   3, -39, -69,-121,-100, -65, -16,   8,  -8,-372,  -8, 759
 -15, -53, -45,  21,   8, -48, -68,-119,-102, -71, -23,   1,  -5,-120,  -9, 759
  -9, -58, -56,  20,  17, -56, -71,-123,-106, -77, -31,  -7,  -6,  28,  14, 758
   0, -58, -65,  16,  26, -61, -76,-128,-110, -81, -38, -15,  -9, 898,  -8, 758
   6, -55, -69,  11,  31, -61, -80,-130,-110, -81, -40, -19,  -9, 329, -31, 757
   4, -54, -65,  11,  28, -59, -79,-126,-108, -79, -40, -20,  -8,  23, -14, 757
  -2, -55, -60,  15,  23, -57, -78,-122,-105, -77, -38, -21,  -6, -99,   2, 757
  -9, -58, -57,  20,  17, -57, -77,-120,-105, -77, -39, -22,  -8,-307,  -1, 756
 -13, -58, -52,  23,  13, -55, -77,-120,-105, -78, -40, -23,  -9,-110, -22, 756
 -19, -59, -47,  26,   7, -53, -78,-120,-108, -80, -40, -23,  -8, 271, -26, 755
 -24, -60, -43,  29,   3, -51, -80,-123,-111, -83, -41, -23,  -8, 390,   5, 754
 -26, -63, -45,  31,   3, -53, -83,-128,-116, -87, -45, -27,  -5,-614,   5, 754
 -22, -66, -52,  31,   8, -58, -86,-132,-119, -92, -50, -34,  -6,-255,  -5, 754
 -18, -69, -59,  30,  14, -64, -88,-133,-121, -96, -54, -39,  -6,-260,  -6, 753
 -14, -72, -66,  29,  20, -68, -87,-131,-123,-100, -58, -42,  -5, 414,  -8, 752
 -13, -73, -67,  30,  21, -70, -86,-128,-121, -99, -58, -44,  -6, 289, -11, 752
 -13, -74, -69,  30,  22, -71, -87,-125,-118, -99, -58, -45,  -9,-261,  -9, 752
 -12, -75, -72,  30,  24, -73, -85,-123,-117, -99, -60, -46,  -8, 101,   3, 752
 -14, -77, -70,  32,  22, -73, -80,-119,-115, -97, -58, -45,  -9, 360,   2, 751
 -18, -79, -68,  35,  18, -73, -77,-115,-114, -95, -57, -42,  -8,-587, -17, 751
 -25, -84, -66,  42,  14, -74, -75,-112,-114, -94, -56, -40,  -6,-239, -25, 750
 -27, -87, -66,  44,  13, -77, -77,-112,-115, -96, -57, -42,  -6,-209, -17, 750
 -23, -85, -68,  42,  16, -76, -83,-117,-117, -98, -61, -46,  -6,-199, -14, 749
 -18, -83, -72,  38,  21, -77, -89,-122,-119, -99, -65, -51,  -5, 719,  12, 750
 -15, -85, -77,  37,  25, -80, -93,-127,-122, -99, -67, -55,  -5, 206,   5, 750
 -18, -90, -79,  41,  24, -84, -95,-130,-124,-100, -69, -58,  -6,  65,  -9, 749
 -22, -94, -79,  46,  21, -86, -93,-132,-125,-101, -70, -59,   0,  59,  -3, 749
 -27, -94, -75,  48,  17, -85, -89,-132,-125,-101, -69, -60,   0,-255,  -5, 749
 -31, -92, -68,  50,  11, -80, -84,-131,-122,-100, -69, -60,  -8,  62, -32, 748
 -36, -87, -57,  49,   4, -72, -79,-126,-119, -99, -67, -60, -11, 280, -25, 748
 -36, -79, -50,  45,   0, -64, -75,-123,-116, -97, -65, -59, -11, 232,  -9, 748
 -31, -72, -48,  39,   2, -60, -72,-121,-117, -98, -64, -59,  -8,-824, -14, 748
 -20, -68, -56,  31,  11, -62, -74,-122,-116, -98, -64, -60,  -8,-366,  -6, 747
 -12, -66, -62,  26,  19, -64, -77,-121,-113, -97, -64, -60,  -6,-147,   3, 747
  -8, -67, -67,  24,  23, -67, -77,-118,-112, -97, -65, -61,  -6, 526,  -1, 747
 -11, -70, -67,  28,  21, -69, -76,-116,-113,-100, -67, -61,  -8, 396, -25, 746
 -18, -75, -65,  33,  17, -70, -74,-116,-114,-103, -69, -62,  -8,-258, -25, 746
 -23, -81, -67,  39,  15, -74, -72,-117,-116,-107, -72, -63,  -9,  71,   5, 746
 -30, -90, -68,  47,  12, -79, -69,-117,-116,-108, -72, -62, -11, 584, -20, 746
 -35, -98, -71,  54,  11, -84, -65,-115,-117,-111, -73, -60,  -9,-768,  -1, 746
 -41,-107, -73,  61,  10, -90, -62,-114,-117,-112, -75, -60,  -8,-623,  17, 746
 -42,-111, -78,  63,  12, -94, -62,-114,-118,-115, -79, -62,  -5,-273,   3, 745
 -36,-109, -82,  60,  16, -96, -66,-118,-119,-117, -82, -65,  -5, -18, -18, 745
 -31,-108, -86,  57,  21, -97, -70,-121,-119,-118, -85, -68,  -5, 850,   0, 745
 -28,-108, -88,  55,  24, -99, -73,-122,-118,-117, -87, -70,  -6, 335,  -6, 745
 -28,-107, -86,  54,  22, -97, -71,-120,-117,-113, -85, -70,  -8,  97, -18, 744
 -29,-103, -80,  52,  19, -91, -64,-117,-117,-109, -80, -66,  -9,-235, -17, 744
 -30,-100, -76,  52,  16, -88, -57,-115,-113,-104, -72, -62,  -9,-145,  -1, 744
 -35,-100, -71,  54,  11, -85, -54,-114,-110,-102, -71, -60,  -8, 258, -12, 743
 -40,-100, -66,  57,   6, -83, -55,-114,-110,-102, -73, -60,  -6, 233, -14, 742
 -41, -98, -63,  56,   4, -81, -56,-114,-112,-102, -73, -61,  -5, 133, -22, 742
 -40, -97, -64,  55,   6, -81, -58,-119,-116,-104, -74, -62,  -5,-762,  -9, 742
 -36, -99, -70,  54,  11, -85, -63,-122,-121,-107, -76, -65,  -5,-341, -14, 742
 -33,-100, -76,  53,  15, -88, -67,-123,-121,-108, -76, -66,  -6,-171, -17, 742
 -29, -99, -79,  51,  19, -89, -71,-123,-121,-108, -76, -66,  -5, 495,   0, 741
 -27, -97, -78,  49,  19, -88, -71,-122,-121,-106, -74, -67,  -6, 465,  14, 741
 -26, -94, -75,  47,  18, -84, -71,-119,-119,-102, -71, -64,  -8,-131,  -5, 741
 -24, -90, -73,  44,  17, -81, -69,-113,-114, -99, -68, -61,  -9,-103, -29, 740
 -25, -87, -69,  43,  15, -78, -66,-106,-105, -94, -63, -56,  -6, 260, -20, 740
 -28, -89, -68,  46,  12, -78, -64,-104,-101, -94, -61, -53,  -8,-790,   5, 740
 -35, -94, -66,  51,   9, -80, -62,-103,-100, -94, -61, -53,  -8,-349,  -3, 740
 -39, -99, -68,  56,   7, -83, -57,-102,-102, -95, -64, -56,  -8, -85,   5, 739
 -39,-101, -69,  56,   8, -84, -57,-103,-102, -96, -67, -59,  -8, -34,  -6, 739
 -40,-102, -70,  58,   8, -86, -57,-107,-103, -98, -71, -64,  -5, 764,  -9, 739
 -43,-107, -71,  61,   7, -89, -57,-108,-105,-101, -74, -68,  -6, 232,  -1, 739
 -49,-112, -71,  68,   4, -92, -57,-112,-109,-104, -77, -71,  -9,  26,  -6, 739
 -55,-116, -68,  72,  -0, -92, -55,-115,-117,-107, -79, -73,  -8,  25, -18, 739
 -56,-114, -65,  72,  -3, -90, -51,-119,-120,-106, -80, -74,  -6,-137, -23, 739
 -56,-111, -62,  71,  -4, -87, -51,-121,-119,-107, -78, -73, -11,-122,  -9, 739
 -59,-110, -58,  71,  -8, -84, -50,-124,-121,-110, -78, -72,  -6, 182,  -3, 739
 -58,-107, -56,  69,  -8, -81, -50,-129,-125,-112, -79, -72,  -9, 254,  -9, 739
 -49, -99, -57,  60,  -2, -78, -53,-131,-124,-111, -77, -71,  -9,-827,  -8, 739
 -32, -89, -65,  47,  10, -77, -56,-130,-121,-109, -74, -68,  -6,-221,   0, 739
 -20, -84, -72,  38,  20, -78, -58,-127,-118,-107, -73, -66,  -6, -86,  -8, 739
 -10, -80, -76,  31,  26, -78, -57,-121,-114,-105, -72, -65,  -9, 620,  -8, 739
  -5, -72, -73,  25,  28, -73, -53,-116,-109,-102, -69, -62,  -9, 662,  -8, 738
  -3, -66, -70,  22,  27, -68, -50,-111,-106, -99, -65, -57,  -8,-205,   2, 738
  -4, -65, -68,  22,  25, -66, -49,-108,-104, -97, -65, -55, -11,-176, -15, 738
 -12, -67, -62,  26,  18, -65, -45,-106,-102, -95, -62, -52, -12, 176,  -6, 738
 -20, -73, -59,  33,  13, -66, -42,-102,-101, -95, -62, -50, -12,-913,   0, 738
 -27, -78, -57,  39,   9, -67, -38, -99,-100, -96, -63, -51, -12,-450, -14, 739
 -30, -80, -57,  42,   7, -68, -36, -97,-102,-101, -69, -55, -12, -80, -20, 739
 -26, -77, -58,  38,  10, -67, -36, -97,-106,-106, -77, -61,  -6,-168,  -3, 738
 -21, -74, -60,  35,  12, -67, -34, -93,-108,-112, -86, -71,   5, 988,  14, 738
 -21, -75, -61,  35,  13, -68, -29, -84,-105,-116, -93, -81,   9, 444, -11, 738
 -23, -76, -60,  37,  11, -68, -23, -68, -98,-117, -99, -88,   8,  79, -15, 738
 -27, -78, -58,  39,   9, -68, -15, -46, -85,-116,-103, -94,   8,-131,  -6, 738
 -33, -82, -56,  45,   5, -69,   0, -21, -72,-117,-110,-103,   6,-343,  -5, 738
 -41, -88, -53,  52,  -1, -71,  22,   4, -61,-119,-117,-112,   8,-171, -11, 737
 -49, -92, -50,  57,  -6, -71,  42,  31, -48,-120,-123,-120,  12, 306,   9, 738
 -52, -93, -47,  59,  -9, -70,  59,  55, -32,-117,-127,-127,  11, 283, -29, 737
 -50, -94, -50,  58,  -6, -72,  73,  74, -16,-111,-129,-134,  11,-879, -34, 737
 -43, -99, -62,  57,   3, -81,  84,  91,   0,-104,-132,-140,  12,-185,   6, 737
 -35,-106, -77,  57,  15, -92,  93, 109,  22, -91,-129,-144,   9, 247,   0, 737
 -29,-115, -91,  58,  25,-103,  98, 125,  48, -72,-123,-144,   6, 660, -35, 737
 -28,-124,-102,  62,  31,-113, 100, 137,  74, -48,-113,-142,   0, 288,  -1, 736
 -29,-133,-111,  68,  35,-123, 101, 142,  99, -23,-101,-139, -14,-280,  14, 736
 -27,-142,-121,  71,  40,-132, 102, 143, 122,   3, -89,-136, -22,-154,  -9, 736
 -29,-151,-128,  77,  43,-140, 107, 145, 148,  34, -73,-128, -18, 213,  -5, 736
 -31,-160,-136,  83,  46,-148, 114, 152, 180,  68, -54,-119,  -8,-869,   2, 736
 -32,-168,-142,  87,  48,-155, 124, 163, 222, 107, -34,-110,  -8,-417,   0, 735
 -30,-172,-148,  88,  53,-160, 131, 179, 272, 149, -15,-103, -17,-137,   3, 735
 -22,-168,-152,  82,  59,-160, 135, 192, 323, 195,   7, -96, -15,  23, -26, 735
 -13,-161,-154,  74,  65,-157, 136, 197, 372, 243,  30, -87, -20,1275, -26, 734
